id,Name,N,E,Z,B,L,H,AntH,σN,σE,σZ,Ave Times,Status,StartLocal time,EndLocal time,StartUTC,EndUTC,Desc,Latency,Sats,Shared Sats,PDOP,Elevation(°),VRS Name,Base B,Base L,Base H(Phase Center),Station,Tilt Angel,Tilt Azi
13,13,683689.8429,388284.1871,189.5535," 47:38:34.26395"," 23:30:41.37033",229.0861,1.4449,0.0200,0.0120,0.0420,1,RTK Fix,2022-09-01 12:56:55.0,2022-09-01 12:56:55.0,2022-09-01 10:56:55.0,2022-09-01 10:56:55.0,c,2.0,28,5,4.7052,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
14,14,683690.8670,388287.6271,189.1295," 47:38:34.29922"," 23:30:41.53418",228.6621,1.4449,0.0200,0.0120,0.0430,1,RTK Fix,2022-09-01 12:57:14.0,2022-09-01 12:57:14.0,2022-09-01 10:57:14.0,2022-09-01 10:57:14.0,s,1.0,27,5,4.6821,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
15,15,683713.3013,388286.8108,189.2640," 47:38:35.02496"," 23:30:41.47472",228.7961,1.4449,0.0200,0.0120,0.0440,1,RTK Fix,2022-09-01 12:57:42.0,2022-09-01 12:57:42.0,2022-09-01 10:57:42.0,2022-09-01 10:57:42.0,d,1.0,28,5,4.6501,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
16,16,683713.9972,388283.4556,189.2800," 47:38:35.04543"," 23:30:41.31337",228.8121,1.4449,0.0180,0.0110,0.0400,1,RTK Fix,2022-09-01 12:57:52.0,2022-09-01 12:57:52.0,2022-09-01 10:57:52.0,2022-09-01 10:57:52.0,d,1.0,26,5,4.6388,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
17,17,683713.4138,388282.2361,189.2360," 47:38:35.02580"," 23:30:41.25549",228.7681,1.4449,0.0130,0.0100,0.0380,1,RTK Fix,2022-09-01 12:58:01.0,2022-09-01 12:58:01.0,2022-09-01 10:58:01.0,2022-09-01 10:58:01.0,stb,1.0,27,4,8.9383,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
18,18,683712.3195,388281.7310,189.3150," 47:38:34.99006"," 23:30:41.23228",228.8471,1.4449,0.0140,0.0090,0.0300,1,RTK Fix,2022-09-01 12:58:11.0,2022-09-01 12:58:11.0,2022-09-01 10:58:11.0,2022-09-01 10:58:11.0,ce,1.0,27,5,4.6162,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
19,19,683710.5459,388281.4102,189.2499," 47:38:34.93245"," 23:30:41.21853",228.7821,1.4449,0.0130,0.0120,0.0340,1,RTK Fix,2022-09-01 12:58:24.0,2022-09-01 12:58:24.0,2022-09-01 10:58:24.0,2022-09-01 10:58:24.0,gb,1.0,27,4,8.9531,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
20,20,683686.0170,388287.3714,189.5024," 47:38:34.14205"," 23:30:41.52634",229.0351,1.4449,0.0140,0.0080,0.0300,1,RTK Fix,2022-09-01 12:58:59.0,2022-09-01 12:58:59.0,2022-09-01 10:58:59.0,2022-09-01 10:58:59.0,s,1.0,28,5,4.5638,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
21,21,683684.8231,388287.8807,189.4474," 47:38:34.10372"," 23:30:41.55182",228.9801,1.4449,0.0140,0.0090,0.0310,1,RTK Fix,2022-09-01 12:59:10.0,2022-09-01 12:59:10.0,2022-09-01 10:59:10.0,2022-09-01 10:59:10.0,ca,2.0,28,5,4.5528,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
22,22,683678.9188,388274.7252,189.2773," 47:38:33.90451"," 23:30:40.92702",228.8101,1.4449,0.0190,0.0080,0.0320,1,RTK Fix,2022-09-01 12:59:41.0,2022-09-01 12:59:41.0,2022-09-01 10:59:41.0,2022-09-01 10:59:41.0,s,1.0,27,4,14.3768,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
23,23,683675.6707,388263.4910,189.1542," 47:38:33.79247"," 23:30:40.39184",228.6871,1.4449,0.0120,0.0080,0.0260,1,RTK Fix,2022-09-01 12:59:55.0,2022-09-01 12:59:55.0,2022-09-01 10:59:55.0,2022-09-01 10:59:55.0,s,1.0,25,5,4.5026,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
24,24,683677.2463,388260.0344,188.4672," 47:38:33.84135"," 23:30:40.22483",228.0001,1.4449,0.0120,0.0070,0.0260,1,RTK Fix,2022-09-01 13:00:26.0,2022-09-01 13:00:26.0,2022-09-01 11:00:26.0,2022-09-01 11:00:26.0,lp,1.0,28,5,4.4683,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
25,25,683676.4282,388260.0743,188.1362," 47:38:33.81489"," 23:30:40.22749",227.6691,1.4449,0.0120,0.0080,0.0260,1,RTK Fix,2022-09-01 13:00:35.0,2022-09-01 13:00:35.0,2022-09-01 11:00:35.0,2022-09-01 11:00:35.0,s,1.0,27,5,4.4597,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
26,26,683681.2136,388277.1253,188.3803," 47:38:33.98027"," 23:30:41.03990",227.9131,1.4449,0.0130,0.0090,0.0290,1,RTK Fix,2022-09-01 13:01:01.0,2022-09-01 13:01:01.0,2022-09-01 11:01:01.0,2022-09-01 11:01:01.0,s,2.0,27,5,4.4322,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
27,27,683682.0566,388276.9370,188.5343," 47:38:34.00744"," 23:30:41.03012",228.0671,1.4449,0.0160,0.0140,0.0360,1,RTK Fix,2022-09-01 13:01:22.0,2022-09-01 13:01:22.0,2022-09-01 11:01:22.0,2022-09-01 11:01:22.0,l,1.0,27,5,3.4336,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
28,28,683662.7374,388264.5287,190.0220," 47:38:33.37443"," 23:30:40.45329",229.5551,1.4449,0.0080,0.0070,0.0180,1,RTK Fix,2022-09-01 13:02:34.0,2022-09-01 13:02:34.0,2022-09-01 11:02:34.0,2022-09-01 11:02:34.0,ax,1.0,26,6,2.7932,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
29,29,683671.5932,388249.2807,189.0901," 47:38:33.65175"," 23:30:39.71486",228.6231,1.4449,0.0080,0.0070,0.0180,1,RTK Fix,2022-09-01 13:03:48.0,2022-09-01 13:03:48.0,2022-09-01 11:03:48.0,2022-09-01 11:03:48.0,stb,1.0,27,6,2.8058,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
30,30,683669.2628,388240.9034,188.6921," 47:38:33.57117"," 23:30:39.31569",228.2251,1.4449,0.0080,0.0080,0.0190,1,RTK Fix,2022-09-01 13:04:11.0,2022-09-01 13:04:11.0,2022-09-01 11:04:11.0,2022-09-01 11:04:11.0,s,1.0,23,6,2.8096,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
31,31,683664.1896,388221.4406,188.5260," 47:38:33.39499"," 23:30:38.38802",228.0591,1.4449,0.0090,0.0080,0.0190,1,RTK Fix,2022-09-01 13:04:38.0,2022-09-01 13:04:38.0,2022-09-01 11:04:38.0,2022-09-01 11:04:38.0,s,1.0,24,6,2.8139,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
32,32,683664.2449,388221.4727,188.4070," 47:38:33.39680"," 23:30:38.38951",227.9401,1.4449,0.0080,0.0080,0.0190,1,RTK Fix,2022-09-01 13:04:43.0,2022-09-01 13:04:43.0,2022-09-01 11:04:43.0,2022-09-01 11:04:43.0,sl,1.0,25,6,2.8149,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
33,33,683665.1770,388222.9813,187.9500," 47:38:33.42790"," 23:30:38.46092",227.4831,1.4449,0.0080,0.0080,0.0190,1,RTK Fix,2022-09-01 13:04:54.0,2022-09-01 13:04:54.0,2022-09-01 11:04:54.0,2022-09-01 11:04:54.0,s,1.0,25,6,2.8166,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
34,34,683669.0159,388229.6074,188.9551," 47:38:33.55624"," 23:30:38.77483",228.4881,1.4449,0.0080,0.0080,0.0190,1,RTK Fix,2022-09-01 13:05:12.0,2022-09-01 13:05:12.0,2022-09-01 11:05:12.0,2022-09-01 11:05:12.0,l,1.0,27,6,2.8196,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
35,35,683653.0835,388232.1212,189.8158," 47:38:33.04202"," 23:30:38.90971",229.3491,1.4449,0.0060,0.0060,0.0150,1,RTK Fix,2022-09-01 13:06:51.0,2022-09-01 13:06:51.0,2022-09-01 11:06:51.0,2022-09-01 11:06:51.0,ax,1.0,27,6,2.8357,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
36,36,683633.0106,388165.2548,189.2963," 47:38:32.35115"," 23:30:35.72501",228.8301,1.4449,0.0090,0.0080,0.0210,1,RTK Fix,2022-09-01 13:08:07.0,2022-09-01 13:08:07.0,2022-09-01 11:08:07.0,2022-09-01 11:08:07.0,ax,1.0,28,6,2.8480,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
37,37,683610.9781,388091.6947,188.8478," 47:38:31.59271"," 23:30:32.22149",228.3821,1.4449,0.0090,0.0080,0.0200,1,RTK Fix,2022-09-01 13:09:32.0,2022-09-01 13:09:32.0,2022-09-01 11:09:32.0,2022-09-01 11:09:32.0,ax,1.0,23,6,2.8612,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
38,38,683607.7573,388092.5797,188.6628," 47:38:31.48899"," 23:30:32.26681",228.1971,1.4449,0.0080,0.0080,0.0200,1,RTK Fix,2022-09-01 13:10:10.0,2022-09-01 13:10:10.0,2022-09-01 11:10:10.0,2022-09-01 11:10:10.0,bkm177,2.0,26,6,2.8667,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
39,39,683658.7795,388203.6684,189.1589," 47:38:33.20894"," 23:30:37.54164",228.6921,1.4449,0.0090,0.0070,0.0190,1,RTK Fix,2022-09-01 13:13:11.0,2022-09-01 13:13:11.0,2022-09-01 11:13:11.0,2022-09-01 11:13:11.0,4,1.0,28,7,2.5085,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
40,40,683658.7774,388203.6670,189.1559," 47:38:33.20887"," 23:30:37.54157",228.6891,1.4449,0.0080,0.0060,0.0170,1,RTK Fix,2022-09-01 13:13:18.0,2022-09-01 13:13:18.0,2022-09-01 11:13:18.0,2022-09-01 11:13:18.0,lp,1.0,28,7,2.5104,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
41,41,683651.7865,388204.9882,188.6477," 47:38:32.98337"," 23:30:37.61120",228.1811,1.4449,0.0100,0.0080,0.0220,1,RTK Fix,2022-09-01 13:14:20.0,2022-09-01 13:14:20.0,2022-09-01 11:14:20.0,2022-09-01 11:14:20.0,T,2.0,28,7,2.5301,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
42,42,683680.0037,388279.7449,189.5553," 47:38:33.94271"," 23:30:41.16648",229.0881,1.4449,0.0090,0.0080,0.0210,1,RTK Fix,2022-09-01 13:16:36.0,2022-09-01 13:16:36.0,2022-09-01 11:16:36.0,2022-09-01 11:16:36.0,T,1.0,27,7,2.5727,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
43,43,683674.4403,388261.1530,189.2522," 47:38:33.75120"," 23:30:40.28096",228.7851,1.4449,0.0090,0.0080,0.0210,1,RTK Fix,2022-09-01 13:16:56.0,2022-09-01 13:16:56.0,2022-09-01 11:16:56.0,2022-09-01 11:16:56.0,T,1.0,28,7,2.5788,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
44,44,683669.2696,388261.6219,189.1541," 47:38:33.58410"," 23:30:40.30812",228.6871,1.4449,0.0100,0.0080,0.0220,1,RTK Fix,2022-09-01 13:17:05.0,2022-09-01 13:17:05.0,2022-09-01 11:17:05.0,2022-09-01 11:17:05.0,T,2.0,27,7,2.5812,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
45,45,683675.0142,388286.3398,189.6602," 47:38:33.78524"," 23:30:41.48691",229.1931,1.4449,0.0090,0.0080,0.0210,1,RTK Fix,2022-09-01 13:17:37.0,2022-09-01 13:17:37.0,2022-09-01 11:17:37.0,2022-09-01 11:17:37.0,T,1.0,28,7,2.5915,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
46,46,683731.9282,388207.6134,188.4443," 47:38:35.57934"," 23:30:37.66416",227.9761,1.4449,0.0110,0.0090,0.0240,1,RTK Fix,2022-09-01 13:22:30.0,2022-09-01 13:22:30.0,2022-09-01 11:22:30.0,2022-09-01 11:22:30.0,lp,1.0,28,7,2.6713,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
47,47,683721.0553,388210.5891,188.6481," 47:38:35.22919"," 23:30:37.81658",228.1801,1.4449,0.0100,0.0090,0.0240,1,RTK Fix,2022-09-01 13:22:45.0,2022-09-01 13:22:45.0,2022-09-01 11:22:45.0,2022-09-01 11:22:45.0,lp,1.0,28,7,2.6748,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
48,48,683720.0672,388207.2352,188.0411," 47:38:35.19514"," 23:30:37.65682",227.5731,1.4449,0.0190,0.0160,0.0400,1,RTK Fix,2022-09-01 13:22:51.0,2022-09-01 13:22:51.0,2022-09-01 11:22:51.0,2022-09-01 11:22:51.0,lp,7.0,26,7,5.8020,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
49,49,683718.9170,388164.6477,188.0761," 47:38:35.13175"," 23:30:35.61787",227.6081,1.4449,0.0110,0.0100,0.0250,1,RTK Fix,2022-09-01 13:24:10.0,2022-09-01 13:24:10.0,2022-09-01 11:24:10.0,2022-09-01 11:24:10.0,lp,3.0,30,6,2.8278,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
50,50,683675.8901,388165.5321,188.1212," 47:38:33.73942"," 23:30:35.69934",227.6541,1.4449,0.0100,0.0090,0.0230,1,RTK Fix,2022-09-01 13:25:28.0,2022-09-01 13:25:28.0,2022-09-01 11:25:28.0,2022-09-01 11:25:28.0,lp,2.0,28,7,2.7084,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
51,51,683649.7278,388166.3767,188.0087," 47:38:32.89301"," 23:30:35.76356",227.5421,1.4449,0.0090,0.0080,0.0220,1,RTK Fix,2022-09-01 13:26:25.0,2022-09-01 13:26:25.0,2022-09-01 11:26:25.0,2022-09-01 11:26:25.0,lp,1.0,29,7,2.7183,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
52,52,683648.3172,388167.1786,188.3766," 47:38:32.84784"," 23:30:35.80326",227.9101,1.4449,0.0090,0.0080,0.0210,1,RTK Fix,2022-09-01 13:27:00.0,2022-09-01 13:27:00.0,2022-09-01 11:27:00.0,2022-09-01 11:27:00.0,s,1.0,28,7,2.7236,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
53,53,683750.1886,388204.3696,188.9047," 47:38:36.16848"," 23:30:37.49219",228.4361,1.4449,0.0090,0.0080,0.0220,1,RTK Fix,2022-09-01 13:30:00.0,2022-09-01 13:30:00.0,2022-09-01 11:30:00.0,2022-09-01 11:30:00.0,stb,1.0,25,7,2.7427,5,BAIA3.1," 47:38:33.68033"," 23:30:41.55948",227.1250,0.0000," 00:00:00",
