id,Name,N,E,Z,B,L,H,AntH,σN,σE,σZ,Ave Times,Status,StartLocal time,EndLocal time,StartUTC,EndUTC,Desc,Latency,Sats,Shared Sats,PDOP,Elevation(°),VRS Name,Base B,Base L,Base H(Phase Center),Station,Tilt Angel,Tilt Azi
11,11,683720.5131,388241.6664,189.1311," 47:38:35.23072"," 23:30:39.30571",228.6631,2.0449,0.0070,0.0050,0.0120,1,RTK Fix,2022-10-05 16:36:12.0,2022-10-05 16:36:12.0,2022-10-05 14:36:12.0,2022-10-05 14:36:12.0,stb,1.0,26,9,2.3497,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
12,12,683719.6147,388241.6787,189.1261," 47:38:35.20164"," 23:30:39.30711",228.6581,2.0449,0.0080,0.0050,0.0130,1,RTK Fix,2022-10-05 16:36:27.0,2022-10-05 16:36:27.0,2022-10-05 14:36:27.0,2022-10-05 14:36:27.0,cex2,1.0,27,9,2.3532,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
13,13,683723.8425,388250.6058,189.1272," 47:38:35.34398"," 23:30:39.73089",228.6591,2.0449,0.0090,0.0050,0.0140,1,RTK Fix,2022-10-05 16:36:40.0,2022-10-05 16:36:40.0,2022-10-05 14:36:40.0,2022-10-05 14:36:40.0,apa,1.0,29,9,2.3559,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
14,14,683723.1121,388256.3174,189.2262," 47:38:35.32384"," 23:30:40.00515",228.7581,2.0449,0.0090,0.0050,0.0140,1,RTK Fix,2022-10-05 16:36:57.0,2022-10-05 16:36:57.0,2022-10-05 14:36:57.0,2022-10-05 14:36:57.0,canaliz,1.0,29,9,2.3599,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
15,15,683721.1819,388242.0649,189.0681," 47:38:35.25261"," 23:30:39.32419",228.6001,2.0449,0.0090,0.0050,0.0150,1,RTK Fix,2022-10-05 16:37:12.0,2022-10-05 16:37:12.0,2022-10-05 14:37:12.0,2022-10-05 14:37:12.0,canaliz,1.0,29,9,2.3630,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
16,16,683717.7795,388230.5209,188.9421," 47:38:35.13538"," 23:30:38.77430",228.4741,2.0449,0.0090,0.0050,0.0140,1,RTK Fix,2022-10-05 16:37:46.0,2022-10-05 16:37:46.0,2022-10-05 14:37:46.0,2022-10-05 14:37:46.0,elsub,1.0,28,9,2.3708,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
17,17,683718.5217,388236.0597,188.9801," 47:38:35.16281"," 23:30:39.03895",228.5121,2.0449,0.0090,0.0050,0.0140,1,RTK Fix,2022-10-05 16:37:53.0,2022-10-05 16:37:53.0,2022-10-05 14:37:53.0,2022-10-05 14:37:53.0,elsub,1.0,28,9,2.3722,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
18,18,683705.3785,388224.6061,189.1248," 47:38:34.73030"," 23:30:38.50224",228.6571,2.0449,0.0140,0.0090,0.0310,1,RTK Fix,2022-10-05 16:38:19.0,2022-10-05 16:38:19.0,2022-10-05 14:38:19.0,2022-10-05 14:38:19.0,cc,1.0,25,7,11.2638,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
19,19,683706.9947,388237.7759,188.8678," 47:38:34.79071"," 23:30:39.13162",228.4001,2.0449,0.0100,0.0070,0.0180,1,RTK Fix,2022-10-05 16:38:56.0,2022-10-05 16:38:56.0,2022-10-05 14:38:56.0,2022-10-05 14:38:56.0,cc,1.0,27,9,2.3864,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
20,20,683710.2025,388221.9994,188.7129," 47:38:34.88487"," 23:30:38.37300",228.2451,2.0449,0.0110,0.0060,0.0180,1,RTK Fix,2022-10-05 16:39:29.0,2022-10-05 16:39:29.0,2022-10-05 14:39:29.0,2022-10-05 14:39:29.0,cc,1.0,28,9,2.3942,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
21,21,683710.6022,388211.6346,188.6129," 47:38:34.89144"," 23:30:37.87615",228.1451,2.0449,0.0110,0.0070,0.0180,1,RTK Fix,2022-10-05 16:39:44.0,2022-10-05 16:39:44.0,2022-10-05 14:39:44.0,2022-10-05 14:39:44.0,cc,6.0,28,9,2.3965,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
22,22,683711.5130,388211.7081,190.9409," 47:38:34.92097"," 23:30:37.87884",230.4731,2.0449,0.6560,0.5400,0.9720,1,Auto,2022-10-05 16:40:00.0,2022-10-05 16:40:00.0,2022-10-05 14:40:00.0,2022-10-05 14:40:00.0,cc,0.0,29,0,0.9746,5,BAIA3.1," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000," 00:00:00",
23,23,683710.6194,388211.6995,188.6079," 47:38:34.89204"," 23:30:37.87924",228.1401,2.0449,0.0090,0.0050,0.0140,1,RTK Fix,2022-10-05 16:40:07.0,2022-10-05 16:40:07.0,2022-10-05 14:40:07.0,2022-10-05 14:40:07.0,cc,1.0,29,9,2.4027,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
24,24,683712.4655,388208.3969,188.6449," 47:38:34.94977"," 23:30:37.71937",228.1771,2.0449,0.0070,0.0040,0.0120,1,RTK Fix,2022-10-05 16:40:38.0,2022-10-05 16:40:38.0,2022-10-05 14:40:38.0,2022-10-05 14:40:38.0,ca,1.0,29,9,2.4100,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
25,25,683714.5880,388217.8648,188.6990," 47:38:35.02430"," 23:30:38.17096",228.2311,2.0449,0.0090,0.0050,0.0140,1,RTK Fix,2022-10-05 16:40:52.0,2022-10-05 16:40:52.0,2022-10-05 14:40:52.0,2022-10-05 14:40:52.0,c,1.0,25,8,2.6492,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
26,26,683704.7961,388217.3546,188.7468," 47:38:34.70700"," 23:30:38.15542",228.2791,2.0449,0.0080,0.0050,0.0140,1,RTK Fix,2022-10-05 16:41:06.0,2022-10-05 16:41:06.0,2022-10-05 14:41:06.0,2022-10-05 14:41:06.0,c,3.0,29,9,2.4158,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
27,27,683696.9590,388215.9724,188.8816," 47:38:34.45245"," 23:30:38.09633",228.4141,2.0449,0.0080,0.0050,0.0130,1,RTK Fix,2022-10-05 16:41:16.0,2022-10-05 16:41:16.0,2022-10-05 14:41:16.0,2022-10-05 14:41:16.0,c,1.0,29,9,2.4188,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
28,28,683696.7376,388210.4587,188.8086," 47:38:34.44189"," 23:30:37.83242",228.3411,2.0449,0.0080,0.0050,0.0140,1,RTK Fix,2022-10-05 16:41:24.0,2022-10-05 16:41:24.0,2022-10-05 14:41:24.0,2022-10-05 14:41:24.0,c,1.0,29,9,2.4207,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
29,29,683701.2197,388210.0113,188.6037," 47:38:34.58671"," 23:30:37.80692",228.1361,2.0449,0.0100,0.0060,0.0170,1,RTK Fix,2022-10-05 16:41:34.0,2022-10-05 16:41:34.0,2022-10-05 14:41:34.0,2022-10-05 14:41:34.0,c,11.0,29,9,2.4207,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
30,30,683704.1494,388206.6532,188.5098," 47:38:34.67949"," 23:30:37.64340",228.0421,2.0449,0.0070,0.0040,0.0120,1,RTK Fix,2022-10-05 16:42:00.0,2022-10-05 16:42:00.0,2022-10-05 14:42:00.0,2022-10-05 14:42:00.0,c,1.0,29,9,2.4288,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
31,31,683696.8838,388207.7821,188.7936," 47:38:34.44498"," 23:30:37.70408",228.3261,2.0449,0.0110,0.0060,0.0190,1,RTK Fix,2022-10-05 16:42:09.0,2022-10-05 16:42:09.0,2022-10-05 14:42:09.0,2022-10-05 14:42:09.0,c,2.0,28,8,2.5265,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
32,32,683690.4462,388207.1118,188.9645," 47:38:34.23617"," 23:30:37.67781",228.4971,2.0449,0.0100,0.0060,0.0170,1,RTK Fix,2022-10-05 16:42:17.0,2022-10-05 16:42:17.0,2022-10-05 14:42:17.0,2022-10-05 14:42:17.0,c,1.0,28,9,2.4330,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
33,33,683685.4019,388209.4024,188.8674," 47:38:34.07428"," 23:30:37.79212",228.4001,2.0449,0.0100,0.0060,0.0170,1,RTK Fix,2022-10-05 16:42:27.0,2022-10-05 16:42:27.0,2022-10-05 14:42:27.0,2022-10-05 14:42:27.0,c,1.0,29,8,2.5304,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
34,34,683684.1674,388216.1248,188.7774," 47:38:34.03845"," 23:30:38.11525",228.3101,2.0449,0.0100,0.0060,0.0160,1,RTK Fix,2022-10-05 16:42:36.0,2022-10-05 16:42:36.0,2022-10-05 14:42:36.0,2022-10-05 14:42:36.0,c,2.0,28,9,2.4373,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
35,35,683684.3865,388221.7917,188.8694," 47:38:34.04902"," 23:30:38.38650",228.4021,2.0449,0.0090,0.0050,0.0160,1,RTK Fix,2022-10-05 16:42:45.0,2022-10-05 16:42:45.0,2022-10-05 14:42:45.0,2022-10-05 14:42:45.0,c,2.0,29,8,2.5340,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
36,36,683690.1898,388218.1997,188.8445," 47:38:34.23468"," 23:30:38.20917",228.3771,2.0449,0.0100,0.0060,0.0170,1,RTK Fix,2022-10-05 16:42:53.0,2022-10-05 16:42:53.0,2022-10-05 14:42:53.0,2022-10-05 14:42:53.0,c,1.0,29,9,2.4415,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
37,37,683694.6658,388221.2604,188.6536," 47:38:34.38146"," 23:30:38.35171",228.1861,2.0449,0.0100,0.0060,0.0170,1,RTK Fix,2022-10-05 16:43:07.0,2022-10-05 16:43:07.0,2022-10-05 14:43:07.0,2022-10-05 14:43:07.0,cc,1.0,27,9,2.4448,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
38,38,683691.3616,388222.5484,188.7105," 47:38:34.27528"," 23:30:38.41641",228.2431,2.0449,0.0110,0.0070,0.0220,1,RTK Fix,2022-10-05 16:43:19.0,2022-10-05 16:43:19.0,2022-10-05 14:43:19.0,2022-10-05 14:43:19.0,ccv,1.0,26,8,4.5747,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
39,39,683701.2353,388220.0982,188.6647," 47:38:34.59341"," 23:30:38.29008",228.1971,2.0449,0.0100,0.0060,0.0170,1,RTK Fix,2022-10-05 16:43:34.0,2022-10-05 16:43:34.0,2022-10-05 14:43:34.0,2022-10-05 14:43:34.0,c,1.0,27,8,2.5440,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
40,40,683710.5813,388211.7257,188.5829," 47:38:34.89082"," 23:30:37.88053",228.1151,2.0449,0.0090,0.0050,0.0160,1,RTK Fix,2022-10-05 16:43:55.0,2022-10-05 16:43:55.0,2022-10-05 14:43:55.0,2022-10-05 14:43:55.0,cc,1.0,28,9,2.4560,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
41,41,683717.4416,388214.5605,188.7670," 47:38:35.11464"," 23:30:38.01009",228.2991,2.0449,0.0120,0.0060,0.0200,1,RTK Fix,2022-10-05 16:44:04.0,2022-10-05 16:44:04.0,2022-10-05 14:44:04.0,2022-10-05 14:44:04.0,c,1.0,29,8,2.8655,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
42,42,683721.6689,388220.0856,188.8731," 47:38:35.25488"," 23:30:38.27091",228.4051,2.0449,0.0090,0.0060,0.0160,1,RTK Fix,2022-10-05 16:44:20.0,2022-10-05 16:44:20.0,2022-10-05 14:44:20.0,2022-10-05 14:44:20.0,c,1.0,29,9,2.4617,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
43,43,683723.4719,388233.9533,188.9022," 47:38:35.32176"," 23:30:38.93355",228.4341,2.0449,0.0100,0.0060,0.0170,1,RTK Fix,2022-10-05 16:44:43.0,2022-10-05 16:44:43.0,2022-10-05 14:44:43.0,2022-10-05 14:44:43.0,c,2.0,29,9,2.4669,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
44,44,683716.8211,388222.7098,188.6450," 47:38:35.09956"," 23:30:38.40102",228.1771,2.0449,0.0070,0.0060,0.0150,1,RTK Fix,2022-10-05 16:46:16.0,2022-10-05 16:46:16.0,2022-10-05 14:46:16.0,2022-10-05 14:46:16.0,a,1.0,30,9,2.9985,5,BAIA3.1," 47:38:35.04757"," 23:30:38.90931",239.4740,0.0000," 00:00:00",
